sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
JET4,2019-12-31,,2.7,ctn,2016-07-08,DRY
JF18,2019-12-31,,0.7,ctn,2019-10-12,FRZ
JFT08a,2019-12-31,,3,inner bag,2018-09-05,DRY
JT103,2019-12-31,,1,ctn,2019-01-08,DRY
JT103,2019-12-31,,1,ctn,2019-09-23,DRY
JT256,2019-12-31,,1,ctn,2018-08-12,DRY
JT380,2019-12-31,,1,ctn,2014-12-13,DRY
JT408,2019-12-31,,1,ctn,2018-07-18,DRY
JT413,2019-12-31,,3,inner bag,1999-12-31,DRY
JT451,2019-12-31,,0.1666,ctn,1999-12-31,DRY
JT451,2019-12-31,,0.83,ctn,2019-03-01,DRY
JT458,2019-12-31,,3,ctn,2016-08-16,DRY
JT459,2019-12-31,,8,ctn,2018-04-01,DRY
JT480,2019-12-31,,1,inner bag,1999-12-31,DRY
JT510,2019-12-31,,1,ctn,2018-05-14,DRY
JT526,2019-12-31,,1,inner bag,2018-10-12,DRY
JT540,2019-12-31,,1,ctn,2019-03-22,DRY
JT600,2019-12-31,,5,ctn,2019-11-30,DRY
JT650,2019-12-31,,1,inner bag,2019-07-10,DRY
JT651,2019-12-31,,7,ctn,2019-01-13,DRY
JT838,2019-12-31,,5,ctn,2019-09-24,DRY
K31,2019-12-31,,3,ctn,2019-12-13,FRZ
KB24,2019-12-31,,2,ctn,2019-11-09,FRZ
KONO02,2019-12-31,,3,ctn,2019-02-07,FRZ
KONO03,2019-12-31,,1,ctn,1999-12-31,FRZ
KONO03,2019-12-31,,1,ctn,2018-11-30,FRZ
KONO03,2019-12-31,,7,ctn,2019-08-14,FRZ
KONO03,2019-12-31,,0.333,ctn,2019-09-10,FRZ
KONO07,2019-12-31,,0.78,ctn,2019-05-24,FRZ
KU54,2019-12-31,,1.72,ctn,2015-03-31,FRZ
KU57,2019-12-31,,1,ctn,2014-08-22,FRZ
KU57,2019-12-31,,3,ctn,2015-03-31,FRZ
KU60,2019-12-31,,4,ctn,2016-05-26,FRZ
KYJ14small,2019-12-31,,17,ctn,2018-05-11,FRZ
KYJ29,2019-12-31,,5.9,ctn,2017-04-09,FRZ
KYJ32,2019-12-31,,16,ctn,2018-10-31,FRZ
KYJ37,2019-12-31,,1,ctn,2018-08-25,FRZ
KYJ39,2019-12-31,,0.75,ctn,2018-02-22,FRZ
KYJ46,2019-12-31,,4,ctn,2019-08-02,FRZ
KYJ65,2019-12-31,,2,ctn,2019-07-06,FRZ
KYJ83NG,2019-12-31,,0.2666,ctn,2019-05-04,FRZ
KYJ83Repack,2019-12-31,,3,ctn,2019-05-04,FRZ
LM,2019-12-31,,1,ctn,2019-08-08,FRZ
LUF04,2019-12-31,,3,ctn,2019-06-12,FRZ
MAR03,2019-12-31,,0.8,ctn,2013-02-13,FRZ
MATSURI,2019-12-31,,1,ctn,2019-03-25,FRZ
MFI09,2019-12-31,,16,ctn,2019-08-11,FRZ
MGF01,2019-12-31,,13,bag,2016-08-10,FRZ
MON02,2019-12-31,,0.9,ctn,2013-02-28,FRZ
NCG05,2019-12-31,,8,ctn,2018-08-31,FRZ
NCG08,2019-12-31,,6.33,ctn,2019-06-03,FRZ
NF01,2019-12-31,,10,ctn,2014-12-30,DRY
NF05,2019-12-31,,43,ctn,2014-12-26,DRY
NF06,2019-12-31,,11,ctn,2014-12-21,DRY
NFS29,2019-12-31,,9,ctn,2019-06-10,FRZ
NFS29,2019-12-31,,40,ctn,2019-08-23,DRY
NMI10,2019-12-31,,2,ctn,2017-12-21,FRZ
NML24,2019-12-31,,1,ctn,2019-10-15,FRZ
NW14,2019-12-31,,2.997,ctn,2016-02-11,FRZ
NW16,2019-12-31,,1,ctn,2018-10-18,FRZ
OCI07,2019-12-31,,5,ctn,2018-02-11,FRZ
OCI08,2019-12-31,,6,ctn,2018-02-11,FRZ
OCP,2019-12-31,,0.9,ctn,2015-04-01,FRZ
OCP06a,2019-12-31,,12,ctn,2015-05-25,FRZ
OCP39,2019-12-31,,0.7,ctn,2016-06-28,FRZ
OCP40,2019-12-31,,11,ctn,2016-06-10,FRZ
OCP48,2019-12-31,,2.00333333333333,ctn,2016-12-16,FRZ
OLS35,2019-12-31,,1,pc,2018-11-20,DRY
OP04,2019-12-31,,1,ctn,2011-11-03,FRZ
OPJ02C,2019-12-31,,1,ctn,2015-08-15,FRZ
OPJ15,2019-12-31,,3,ctn,2013-04-29,FRZ
OPJ21,2019-12-31,,2,ctn,2015-08-15,FRZ
OTK159,2019-12-31,,1,ctn,2015-05-07,FRZ
OTK162A,2019-12-31,,1,ctn,2018-05-01,FRZ
OTK215,2019-12-31,,12.9,ctn,2015-10-31,FRZ
OTK218,2019-12-31,,0.5,ctn,2017-05-18,FRZ
OTK239,2019-12-31,,8,pack,2017-03-07,FRZ
OTK264,2019-12-31,,3,ctn,2019-01-27,FRZ
OTK270,2019-12-31,,3,ctn,2019-01-20,FRZ
OTK281Repack,2019-12-31,,38,pack,1999-12-31,FRZ
OTK291,2019-12-31,,5,ctn,2017-07-11,FRZ
OTK301,2019-12-31,,0.2,ctn,2017-08-08,FRZ
OTK307,2019-12-31,,3,ctn,2017-02-18,FRZ
OTK312,2019-12-31,,1,ctn,2019-02-08,FRZ
OTK315,2019-12-31,,1.4,ctn,2019-02-07,FRZ
OTK362,2019-12-31,,0.2,ctn,1999-12-31,FRZ
OTK57,2019-12-31,,0.818,ctn,2010-12-30,FRZ
OTK80,2019-12-31,,0.375,ctn,2012-04-06,FRZ
OTK82,2019-12-31,,2.4,ctn,2017-08-09,FRZ
PD01,2019-12-31,,8,bag,1999-12-31,DRY
PF26,2019-12-31,,4,ctn,2019-09-20,FRZ
PLATE,2019-12-31,,1,plt,1999-12-31,DRY
PRE01,2019-12-31,,14.75,ctn,2019-06-14,FRZ
QDO01,2019-12-31,,6,ctn,2019-11-13,FRZ
QP07,2019-12-31,,3,ctn,2014-03-24,DRY
RUM01Ad,2019-12-31,,0.166,ctn,2018-03-10,FRZ
RUM01Ad,2019-12-31,,2,ctn,2018-03-11,FRZ
RUM01Ad,2019-12-31,,0.166,ctn,2018-03-14,FRZ
RUM01Ad,2019-12-31,,0.166,ctn,2019-01-28,FRZ
RUM01Ad,2019-12-31,,0.166,ctn,2019-03-02,FRZ
RUM01Ad,2019-12-31,,1,ctn,2019-04-11,FRZ
SHF05,2019-12-31,,1,ctn,2018-09-01,FRZ
SHF22,2019-12-31,,2,ctn,2019-06-15,FRZ
SHF22,2019-12-31,,180,ctn,2019-06-15,DRY
SM05a,2019-12-31,,2,ctn,2018-12-14,DRY
SO15,2019-12-31,,1,ctn,2015-02-10,FRZ
SO18,2019-12-31,,1,ctn,2015-12-27,FRZ
SO18A,2019-12-31,,0.9,ctn,2015-11-13,FRZ
SO23,2019-12-31,,2.5,ctn,2017-08-06,FRZ
SO31a,2019-12-31,,3,ctn,2018-07-06,FRZ
SPL325,2019-12-31,,1.75,ctn,2018-10-12,DRY
ST04,2019-12-31,,4,ctn,2019-06-11,FRZ
T05,2019-12-31,,3,pack,2014-10-20,FRZ
T05,2019-12-31,,1,ctn,2018-09-22,FRZ
T11A,2019-12-31,,8,ctn,1999-12-31,FRZ
T17,2019-12-31,,4,pack,1999-12-31,FRZ
T27,2019-12-31,,1,ctn,2019-03-21,FRZ
T28,2019-12-31,,5.375,ctn,2018-11-02,FRZ
Taik08,2019-12-31,,0.6,ctn,2014-07-07,FRZ
TF　Stock,2019-12-31,,1,ctn,2018-05-21,FRZ
TF　Stock,2019-12-31,,2,ctn,2019-05-20,FRZ
TF　Stock,2019-12-31,,1,ctn,2019-06-22,FRZ
TF　Stock,2019-12-31,,1,ctn,2019-06-25,FRZ
TF　Stock,2019-12-31,,1,ctn,2019-12-01,FRZ
TF04,2019-12-31,,0.666,ctn,2018-12-10,FRZ
TF10,2019-12-31,,0.7,ctn,1999-12-31,FRZ
TF11,2019-12-31,,0.2,ctn,1999-12-31,FRZ
TF14,2019-12-31,,1,ctn,2019-06-03,FRZ
TF60,2019-12-31,,48,ctn,2018-10-02,DRY
TF74,2019-12-31,,1,ctn,2019-12-05,FRZ
TF74Bgrade,2019-12-31,,1,ctn,1999-12-31,FRZ
TF83,2019-12-31,,1.3637,ctn,2019-09-01,FRZ
TF83,2019-12-31,,4,ctn,2019-12-01,FRZ
TF83A,2019-12-31,,1,ctn,2019-05-01,FRZ
TF83A,2019-12-31,,1,ctn,2019-08-01,FRZ
TF83B,2019-12-31,,1,ctn,2019-09-01,FRZ
TF83E,2019-12-31,,0.0333,ctn,2019-05-01,FRZ
TF83E,2019-12-31,,1,ctn,2019-05-24,FRZ
TF85,2019-12-31,,1,ctn,2019-04-04,FRZ
TF96,2019-12-31,,15.5,ctn,1999-12-31,FRZ
TF99,2019-12-31,,8,ctn,2019-11-30,FRZ
TFB25,2019-12-31,,1,ctn,2019-06-04,FRZ
TFB25,2019-12-31,,13,ctn,2019-12-01,FRZ
TFB25,2019-12-31,,37,ctn,2019-12-08,FRZ
TFB25,2019-12-31,,33,ctn,2019-12-22,FRZ
TFB26,2019-12-31,,13,ctn,2019-11-04,FRZ
TFB26,2019-12-31,,34,ctn,2019-11-25,FRZ
TFB26,2019-12-31,,34,ctn,2019-12-15,FRZ
TFL002,2019-12-31,,1,ctn,2019-09-11,FRZ
TFS02,2019-12-31,,28,ctn,2017-03-20,FRZ
TFS02A,2019-12-31,,13,ctn,2018-02-26,FRZ
TFS04,2019-12-31,,2,ctn,2018-04-19,FRZ
TFS04,2019-12-31,,7.42,pack,2018-04-23,FRZ
TFS04,2019-12-31,,6.63,pack,2018-04-30,FRZ
TFS04,2019-12-31,,6.25,pack,2018-05-14,FRZ
TFS04,2019-12-31,,1,ctn,2018-06-08,FRZ
TFS04,2019-12-31,,5,pack,2019-05-07,FRZ
TFS04,2019-12-31,,1,ctn,2019-11-30,FRZ
TFS04A,2019-12-31,,8,ctn,2019-04-10,FRZ
TF在庫,2019-12-31,,48,ctn,2017-01-18,DRY
TMK1,2019-12-31,,8,ctn,2019-05-17,FRZ
TMK4,2019-12-31,,1.33,ctn,2019-05-17,FRZ
TRS01,2019-12-31,,1,ctn,2018-07-31,FRZ
TRS05,2019-12-31,,2.5,ctn,2018-07-31,FRZ
TRS06,2019-12-31,,14.6,ctn,2018-07-31,FRZ
TSK02,2019-12-31,,11,ctn,2019-09-27,FRZ
TSK08,2019-12-31,,2.7,ctn,2018-03-14,FRZ
TSK18,2019-12-31,,7,ctn,2019-11-04,FRZ
TSK35,2019-12-31,,0.75,ctn,1999-12-31,FRZ
TSK50,2019-12-31,,4,ctn,2019-11-05,FRZ
TSK51,2019-12-31,,9,ctn,2019-08-13,FRZ
TSK52,2019-12-31,,1,ctn,2019-08-13,FRZ
TSK60,2019-12-31,,1,ctn,1999-12-31,FRZ
TT15,2019-12-31,,1,ctn,1999-12-31,FRZ
TT16,2019-12-31,,1,ctn,2012-03-08,FRZ
TT18,2019-12-31,,2.67,ctn,2012-02-27,FRZ
TT24,2019-12-31,,4.96,ctn,2014-04-18,FRZ
TT25,2019-12-31,,8.6,ctn,1999-12-31,FRZ
TT32,2019-12-31,,3,ctn,2014-10-05,FRZ
U18A,2019-12-31,,4.9,ctn,2016-06-09,FRZ
U19A,2019-12-31,,4.9,ctn,2016-06-09,FRZ
U34,2019-12-31,,2,ctn,2013-04-18,FRZ
U35,2019-12-31,,1,ctn,2013-04-18,FRZ
U36,2019-12-31,,2,ctn,2013-04-18,FRZ
Univ,2019-12-31,,1,ctn,2013-01-24,FRZ
Univ02,2019-12-31,,1,ctn,2019-02-19,FRZ
