sf_code,product_type,product_name
Code Required,FRZ,Salmon Roe Salted 600g x 9jar (10.80KG)
Code to check,FRZ,Frozen IQF Whole creaned Baby octopus
COF01,DRY,Frozen Fried Eggplant Tempura
COF02,DRY,Frozen Fried Carrot & Pumpkin Tempura
COF03,DRY,Frozen Fried Okura Tempura
COF04,FRZ,Frozen Fried Long bean (ingen) Tempura
COF05,DRY,Frozen Fried Sweet Potato Tempura
COF06,FRZ,Frozen Fried Eggplant (half cut)
COF07,FRZ,Frozen Fried Small Eggplant (konasu)
COF10,FRZ,Frozen Fried Eggplant with shrimp paste
COF11,FRZ,Frozen Fried Kakiage 80g (with shrimp)
COF12,FRZ,Frozen Fried Vege Kakiage 80g
COF13,FRZ,Frozen Kakiage Stick 15g 20/bag
COF14,FRZ,Frozen Kakiage Stick 15g 40/bag
COF16,FRZ,Frozen Blanched Okura Slice 500g
COF17,FRZ,Frozen Acerola Seedless
COF18,FRZ,Frozen Mango Half cut
COF19,FRZ,Frozen Mango Chunk
COF20,FRZ,Frozen Water Melon Dice Cut
COF21,FRZ,Frozen Sweet Potato in Syrup Coin Cut
COF22,FRZ,Fried Sweet Potato Stick Cut
COF23,FRZ,Frozen Steamed Sweet Potato Slice Cut
COF24,FRZ,Frozen Fried Pumpkin Tempura
COF25,FRZ,Frozen Kakiage Stick 15g 20/bag SF (red)
COF26,FRZ,Frozen Kakiage Stick 15g 20/bag NF (clear)
COF27,DRY,Frozen Kakiage Stick 15g 40/bag JP (yellow)
COF28,FRZ,Frozen Kakiage Stick 15g  (BROKEN)
COF29,FRZ,Banched Okura Whole 500g
COF30,FRZ,Frozen Pineapple Skewer 85g
CP01f,DRY,HDPE Plain Natural Liner Bag (Shari)
CP02e,DRY,HDPE Plain Natural Liner Bag (Karaage)
CP03a,DRY,HD NAT Loose Sheets
CP04a,DRY,HDPE Plain Natural Liner Bag (Chicken Katsu)
CP05Aa,DRY,HD PLAIN LOOSE SHEETS (Silver tray)
CP06b,DRY,MDPE NAT P.O.R. TROLLEY BAGS
CRL01A,FRZ,Fz Tuna Steak 150g-180g Repacked
CST01,FRZ,Frozen Breaded Squid Ring
CST03,DRY,Frozen Squid KARAAGE (Tentacle + Cartilage)
CST04,FRZ,Frozen  Squid CARTILAGE on Skewer 60g
CST05,FRZ,Frozen  Squid BEAK on Skewer 60g
CST06,FRZ,Frozen Squid TENTACLE
CST07A,FRZ,FROZEN SQUID (CUT OPEN) 120-140g
CST07E,FRZ,FROZEN SQUID (CUT OPEN) 201-220+g
DAI01A,FRZ,Frozen Crumbed Croquette (Seafood)
DAILY,FRZ,DAILY pallet
DH01,FRZ,Frozen Seasoned Seaweed SF 1kg 
DH02,DRY,Frozen Seasoned Seaweed UIE 1kg (NO MSG)
DH03,FRZ,Frozen Seasoned Seaweed SF 250g (NO MSG)
DH04,FRZ,Boiled Chilli Fish Roe (Alaska Pollack)
DH05,FRZ,Boiled Fish Roe (Alaska Pollack)
DH07,FRZ,Kelp (C Grade) - Semi Dry
DH08,FRZ,Kelp (C Grade) - Dry
DH08A,FRZ,Kelp (C Grade) - Dry
DH08B,FRZ,Kelp (C Grade) - Dry
DH09,DRY,Wakame -ME
DH11,FRZ,Sea Urchin 
DH11A,FRZ,Sea Urchin 100g 
DH12,FRZ,Sea Urchin - IQF
DH13A,FRZ,Freshwater Clam - IQF
DH14,FRZ,Short-neck Clam (Long Boil)
DH17,FRZ,Akagai (21/25)
DH19,FRZ,Dried Wakame Seaweed (B Grade)
DH20,FRZ,Dried Wakame Seaweed (Retail)
DH21,FRZ,Kelp (Salted) - Enzo
DH23,FRZ,Concentrated Short-neck Clam Extract
DH24,FRZ,Clean Shells (Orient Clam Shells - No Meat)
DH25,FRZ,Ishigaki Gai (26/30)
DH27,FRZ,Ikura (1kg)
DH32,DRY,Lunch Box ATZ-020
DH33,DRY,Lunch Box 306
DH34,DRY,Lunch Box 307
DH35A,FRZ,Frozen Seasoned Seaweed JFT 1kg B
DH37,FRZ,Frozen Seasoned Seaweed 1kg JFT (Gluten Free/NO MSG)
DH37A,FRZ,Frozen Seasoned Seaweed 1kg (Gluten Free/NO MSG)
DH40,DRY,Container J-100 (Sea Urchin)
DH41,FRZ,Rock Sugar 10kg
DH42,FRZ,Tooth Fish Neck Meat 100-150g
DH44,DRY,Short-neck Clam 150g (Vacuum Pack)
DH45,FRZ,Ika Ichiya Boshi
DH46,DRY,Ika Ichiya Boshi Package
DH47,FRZ,Tooth Fish Neck Meat 150-200g
DH48,DRY,Thermal Pack (Aluminium foil) 
DH49,FRZ,Ika Ichiya Boshi (Broken)
DH50,FRZ,Frozen Seasoned Seaweed 1kg Pack (Normal 100%)  Sweeten
