sf_code,product_type,product_name
JT540,DRY,Matcha Genmai-Cha (TB)　(1.5g/1000p)
JT544,DRY,Rice Jar Net (L) 100cm x 100cm
JT560,DRY,Rice Container SP-20D Body
JT561,DRY,Rice Container SP-20D Lid
JT567,DRY,Fermented Soybean Paste (Nagasaki Miso)
JT568,DRY,super Vinegar 20L
JT600,DRY,JAPANESE GREEN TEA Genmai-Cha 10g x 100P
JT632,DRY,Plastic Container TY-1 Body
JT633,DRY,Plastic Container TY-1 Lid KUMA
JT634,DRY,Plastic Container TY-1 Lid NEKO
JT635,DRY,Plastic Container TY-1 Lid PANDA
JT636,DRY,Plastic Container TY-2 Body
JT637,DRY,Plastic Container TY-2 Lid DOBUTSU
JT638,DRY,Plastic Container AJIRO Body
JT639,DRY,Plastic Container AJIRO Lid 
JT640,DRY,Plastic Container AJIRO Partition
JT641,DRY,Plastic Container TSR Body
JT642,DRY,Plastic Container TSR Lid 
JT643,DRY,Plastic Container TSR  CHU Body
JT644,DRY,Plastic Container TSR CHU Lid 
JT645,DRY,Plastic Container AJIRO Small Body
JT646,DRY,Plastic Container AJIRO Small Lid 
JT649,DRY,Milled Rice(KOSHIHIKARI from Niigata pref) 2kg
JT650,DRY,Milled Rice(KOSHIHIKARI from Niigata pref) 5kg
JT651,DRY,Ramen Soup Kyushu Flavour 1.8L
JT652,DRY,BBQ Galvanised Mesh Dome 28cm x 0.2cm
JT698,DRY,Smoked Soy Sauce
JT699,DRY,Yuzu Salt 1kg
JT701,DRY,BBQ Galvanised Mesh Dome (Thick)28cm x 0.17cm
JT837,DRY,kaneko Soy Sauce (Special Blend) 20L
JT838,DRY,kaneko Light Soy Sauce 20L
JT873,DRY,Grape Jelly Pouch 20g×6
JT875,DRY,Apple & Grape Jelly Pouch 20g×12
JT930,DRY,Non Alcoholic Drink All-Free Beer 350ml
JT932,DRY,Muscat Grape Jelly Pouch 20g×6
JT936,DRY,Muscat & Orange Jelly Pouch 20g×12
JT951,DRY,Candied Citrus Peel (YUZU) 1kg
JT982A,DRY,Soy sauce Oyster Flavour 18L
K02,FRZ,Kaniashi Chirashi
K08A,FRZ,Saba Hiraki Boshi 280g Head Off (SFA31)
K12,DRY,Aka Kamaboko (SFA08)
K13,DRY,Oden NABE-S (SFA27)
K15,DRY,Naruto Maki (SFA07)
K16,FRZ,Yasai Tempura f/cake (SFA09)
K17,FRZ,Uogashi Age (SFA10)
K18,FRZ,Ika Rikyu (SFA11)
K19,FRZ,Koban Age (SFA12)
K20,FRZ,Chikuwa Kitanoryoba (SFA14)
K22,FRZ,Ika Maki (SFA18)
K23,FRZ,Gobo Maki (SFA20)
K24,FRZ,Age Ball (SFA21)
K31,FRZ,Large Kanikama Roll (Bulk pack) 15kg (SFA33)
K32,FRZ,Kanikama 18cm  (35pc) (SFA34)
K33,FRZ,Hanpen M size (SFA35)
KB01e,FRZ,Prawn Gyoza
KB15e,FRZ,Scallop Roe off  3S( 41-50pc/kg) N Hokkaido
KB16e,FRZ,Scallop Roe off 4S 51/60pc/kg N Hokkaido
KB24,FRZ,Goat Cheese & Beetroot GF Pattie
KFP01a,DRY,CJ Freshway CORN MALT SYRUP
KFP01b,DRY,CJ Freshway CORN MALT SYRUP
KONO01,FRZ,Premium dry Noodle Red 140
KONO02,FRZ,Medium Straight Noodle Green 140
KONO03,FRZ,Medium Wavy Noodle Yellow 140
KONO04,FRZ,Medium Straight Noodle Green 150
KONO07,FRZ,Medium Noodle Purple 120 (Hakata)
KSG01,DRY,Rice Pack Z20-20D (TF)
KSG02,DRY,Rice Pack Z40-20D
KSG03,DRY,Bamboo Leaves (3000)
KSG06,DRY,Kyogi sheet
KU08,FRZ,Yari Ika Slice 10g
KU11,FRZ,Ika somen LABELED 250g
KU22A,FRZ,Shime Saba Slice 10g (V / SABA)
KU24A,FRZ,Saba Fillet 1kg pack
KU24B,FRZ,Saba Fillet 1kg (CTN)
KU27,FRZ,Yari Ika Slice 12g
KU33A,FRZ,Amaebi PTO(M)
KU45,FRZ,Frozen Raw Butterfly Saba
KU54,FRZ,Frozen Raw Greenland Halibut Slice 8g
KU57,FRZ,Frozen Shime Saba Fillet Skin On with Zuke Sauce
KU58,DRY,Frozen Raw Butterfly Tail on Pink Shrimp
KU60,FRZ,Frozen Mackerel Fillet with Zuke (Sliced Fillet Saba Zuke)
KU71,FRZ,Frozen Surf Clam Butterfly Cut 7g
KU72,FRZ,Saba (Mackerel ) Fillet - B&T 220-270g 1kg Pack
KU73,FRZ,Saba (Mackerel ) Fillet - (L) 160-210g  1kg Pack
KUB24B,FRZ,Saba Fillet 1kg (CTN)
KYJ02,FRZ,Frozen Scallops Meat 3S
KYJ03,FRZ,Frozen Scallops Meat 4S
KYJ07,FRZ,Vinegared Mackerel Fillet
KYJ08,FRZ,Frozen Seared Bonito (TATAKI) Perilla Soy Garlic Flavour
KYJ09,DRY,Frozen Seared Albacore Tuna (TATAKI) Yuzu Citrus Flavour
KYJ100,FRZ,FROZEN BONELESS JAPANESE BEEF(EYE ROUND)
KYJ101,FRZ,FROZEN BONELESS JAPANESE BEEF(SILVER SIDE)
KYJ102,FRZ,FROZEN TUNA SAKU - OTORO -(BF) (Half Cut)
KYJ103,FRZ,FROZEN BONELESS JAPANESE BEEF (SHORT RIB)
KYJ104,FRZ,FROZEN BONELESS JAPANESE BEEF (SHORT PLATE)
KYJ105,FRZ,FROZEN BONELESS JAPANESE BEEF (RUMP)
KYJ106,DRY,Retort Curry Sauce (SAMURAI CURRY) 150g
KYJ107,FRZ,FROZEN YAKISOBA NOODLES 150g
KYJ14,FRZ,Frozen Boiled Salted Baby Japanese Anchovy
KYJ14black,FRZ,Frozen Boiled Salted Baby Japanese Anchovy (Black Label)
KYJ14Black,FRZ,Frozen Boiled Salted Baby Japanese Anchovy
KYJ14small,FRZ,Frozen Boiled Salted Baby Japanese Anchovy
KYJ19,FRZ,Japanese Whole Octopus
KYJ24,FRZ,Forzen Mini Cake (Green Tea Flavour) 
KYJ29,FRZ,Frozen Dried Skate 500g
KYJ30,FRZ,Frozen Crumbed Croquet (Vegetable)
KYJ32,FRZ,Frozen Alfonsino Slice 8g
KYJ33,FRZ,Red Bean Cake (Jumbo)/ Dorayaki 250g
KYJ33A,FRZ,Red Bean Cake (Jumbo)/ Dorayaki 200g
KYJ34,FRZ,Red Bean Cake / Dorayaki with Chestnut 200g
KYJ34A,FRZ,Red Bean Cake / Dorayaki with Chestnut 180g
KYJ36,FRZ,Grilled Rice Ball
KYJ37,FRZ,Frozen Boiled ISHIGAKI Clams
KYJ38A,FRZ,Frozen Straw Grilled Yellow Tail(Skinless/Boneless) (200-450g/pc)
KYJ39,FRZ,Frozen Straw Grilled Bonito (Skinless/Boneless)
KYJ40,FRZ,Frozen Wave Ramen Noodles (Half)
KYJ42A,FRZ,Frozen Deep Fried Beancurd  5PC
KYJ46,FRZ,Frozen Puree White Peach
KYJ47,FRZ,Frozen Fish Cake  (Red)
KYJ48,FRZ,Frozen Fish Cake  (White)
KYJ51,FRZ,Frozen Crumbed Croquette (Seafood)
KYJ53,FRZ,Seasoned Octopus 1kg
KYJ54,FRZ,SEASONED CUTTLEFISH (MATCHA & AOSA SEAWEED) 500g
KYJ55,FRZ,FROZEN VINEGARED MACKEREL FILLET- Perilla Flavour
KYJ56,FRZ,FROZEN SEASONED FLYING FISH ROE 400g
KYJ57,FRZ,Frozen Mushroom NAMEKO 500g
KYJ58,FRZ,FROZEN SALT MARINATED SQUID
KYJ60,FRZ,FROZEN TUNA SAKU -BULK-
KYJ61,FRZ,FROZEN TUNA SAKU - OTORO -
KYJ62,FRZ,FROZEN TUNA SAKU - CHUTORO -
KYJ63,FRZ,FROZEN TUNA SAKU - AKAMI -
KYJ65,FRZ,Frozen Ataka Mackerel 5L Bulk
KYJ66,FRZ,FROZEN SALTED PACIFIC HERRING ROE
KYJ67,FRZ,FROZEN PREPARED PACIFIC HERRING ROE
KYJ68,FRZ,BAKED FISH CAKE
KYJ69,FRZ,FROZEN ROLLED CONGER EEL
KYJ70,FRZ,FROZEN SEASONED HERRING WITH SEAWEED
KYJ71,FRZ,FROZEN FISH CAKE (WHITE) / KAMABOKO (OSECHI)
KYJ72,FRZ,FROZEN FISH CAKE (RED) / KAMABOKO (OSECHI)
KYJ73,FRZ,SIMMERED SWEET BLACK BEANS (TANBA)
KYJ79,FRZ,FROZEN BREADED OYSTER 25g (Okayama)
KYJ80,FRZ,FROZEN BREADED OYSTER 35g (Okayama)
KYJ81,FRZ,JAPANESE SWEETS (WARABI MOCHI GREEN TEA) 500g
KYJ82,FRZ,FROZEN MINCED TUNA 500g
KYJ83NG,FRZ,FROZEN SEA URCHIN (A Grade) 
KYJ83Repack,FRZ,FROZEN SEA URCHIN (A Grade) 
KYJ84Repack,FRZ,FROZEN SEA URCHIN (B Grade)
KYJ85,FRZ,FROZEN BONELESS JAPANESE BEEF (SILVER SIDE)
KYJ86,FRZ,FROZEN BONELESS JAPANESE BEEF (TOP SIDE)
KYJ87,FRZ,FROZEN BONELESS JAPANESE BEEF (RUMP)
KYJ88,FRZ,FROZEN BONELESS JAPANESE BEEF (KNUCKLE)
KYJ89,FRZ,FROZEN BONELESS JAPANESE BEEF (SHORT RIB)
KYJ90,FRZ,FROZEN BONELESS JAPANESE BEEF (SHORT PLATE)
KYJ91,FRZ,FROZEN BONELESS JAPANESE BEEF (BRISKET)
KYJ93,FRZ,FROZEN BONELESS JAPANESE BEEF (KNUCKLE)
KYJ93-101,FRZ,Frozen Boneless Japanese Beef
KYJ94,FRZ,FROZEN BONELESS JAPANESE BEEF(TRI-TIP)
KYJ95,FRZ,FROZEN BONELESS JAPANESE BEEF(RUMP)
KYJ96,FRZ,FROZEN BONELESS JAPANESE BEEF(RUMP CAP)
KYJ97,FRZ,FROZEN BONELESS JAPANESE BEEF(TOP SIDE)
KYJ98,FRZ,FROZEN BONELESS JAPANESE BEEF(TOP ROUND CAP)
KYJ99,FRZ,FROZEN BONELESS JAPANESE BEEF(HEEL)
LDF01,FRZ,Frozen Vegetable Spring Rolls 18g (ST) 52pc
LDF02,FRZ,Frozen Vegetable Spring Rolls 18g (SF) 52pc
LDF03,FRZ,Frozen Soybean Spring rolls 25g
LM,FRZ,Home Made Udon
LTF01,DRY,Dried Onion
LTF02,FRZ,Dried Garlic
LUF01,FRZ,Breaded Surimi Crab Stick 18cm
LUF02,FRZ,Breaded Surimi King Crab Claw  1kg (ST)
LUF03,FRZ,Breaded Surimi King Crab Claw  1kg
LUF04,FRZ,SURIMI FILAMENT CRAB STICK
MAN01aRepack,FRZ,Frozen Fresh Garlic 500g　
MAN01FRESH,FRZ,Frozen Fresh Garlic 500g　
Manpuku,FRZ,Manpuku Pallet
Mar-03,FRZ,Frozen Surf Clam and Seafood Salad
MAR03A,FRZ,Frozen Surf Clam and Seafood Salad
MATSURI,FRZ,Matsuri Pallet (including other items)
MAU01a,DRY,Kangaroo Flour(Noodle Floour)25kg
MDR03,DRY,Vital Wheat Gluten 25kg
MDR04,DRY,Ethanol 95HG
MFI03A,FRZ,Frozen boiled octopus slice 8g (50P)
MFI04A,DRY,Frozen boiled octopus slice 10g (50P)
MFI05,FRZ,Frozen boiled octopus cut 4-7g - SHIMA- yellow label
MFI09,FRZ,Frozen roasted sea eel (hamo cut)
MFI10,FRZ,Frozen saury 410g (Range: 410 - 450g)  
MFI11,FRZ,Frozen saury 380g (Range: 380 - 420g) 
MFI12,FRZ,Frozen boiled octopus cut 4-7g - IKISHIME- 
MFI13,FRZ,Frozen Karaage Octopus (wild caught)
MFK08d,FRZ,Squid Cut Rings U/10 IQF
MGF01,FRZ,Organic Soybean Wholegrain Graded-791
MKF08d,FRZ,Squid Cut Rings U/10 IQF
MKF25b,FRZ,Whole Sublefish Size 5/7 (Black Cod)
MKF26,FRZ,Scallops Roe off 23/27 Nth Hok IQ( 4s )
MKF27,FRZ,BT Cooked Nobashi Ebi 26/30
MON01,FRZ,Sanwa Scallops 3S 41-50pc/kg (L)
MON02,FRZ,Scallops 4S 51-60pc/kg
MON04,FRZ,FROZEN SCALLOPS(IQF)MEAT 5S
MPM5,FRZ,Breaded Oyster Meat 10 x 500g
MQA01a,FRZ,Frozen Semi Dried Tomato
MQA01A,FRZ,Frozen Semi Dried Tomato
MQA02,FRZ,Frozen Bruschetta Mix
MT130,FRZ,Beef Tongue Skin/off Whole
MT133,FRZ,Beef Tongue Slice (Red Tape)
MYO02,DRY,Pure Vegetable Oil BIB JULY 2
MYO03,DRY,Pure Vegetable Oil  S65 Apr 11
MYO04A,DRY,BIB PACKING - Long Card Board-
MYO04B,DRY,BIB PACKING - Square Card Board-
MYO04C,DRY,BIB PACKING - Blue Bag-
NCG01,FRZ,Frozen Scallops (IQF) Meat - Roe Off 3S
NCG05,FRZ,Frozen Sardine Cut Open IQF
NCG07A,FRZ,Frozen Octopus Leg
NCG08,FRZ,Frozen Sardine Fillet IQF (SASHIMI GRADE)
NCG10,FRZ,FROZEN BOILED SCALLOP - ROE ON
NCG11,FRZ,Frozen Scallops (IQF) Meat - Roe Off 4S
NCG12,FRZ,Frozen Boiled Yellowtail Flake
NEV01,FRZ,Salmon Roe Salted 500g (NEVADA)
NEV01A,FRZ,Salmon Roe Salted 600g / 9Jar  5.4KG (NEVADA)
NEV01LowQuality,FRZ,Salmon Roe Salted 500g (NEVADA)
New Code Required,DRY,Ramune (Lemonade)
NF01,DRY,Dusting Powder VD320
NF05,DRY,Breader VR1080BR
NF06,DRY,Batter VM560
NFS10b,FRZ,CRAB CREAMY CROQUETTE 40G
NFS14a,FRZ,QP Aojiso Dressing 1L
NFS29,FRZ,Champion Dover Premium Flour 20kg
NFS30,DRY,Sangaria Ramune 200ml
NFS36,DRY,Bulldog Pork Sauce 1.8L
NFS38a,DRY,Yamasa Konbu Ponzu 1.0L
NFS414a,DRY,QP AOJISO DORESSING 1L
NFS42,FRZ,Azuma Food Tobiko Orange
NFS46,DRY,Champion Trophy premium noodle flour
NFS46a,DRY,Champion Trophy premium noodle flour
NFS46b,DRY,Champion Trophy premium noodle flour
NFS47REPACK,FRZ,Fish Fry repacked for ST 55g repacked NFS
NFS49,DRY,Calpis Can 335ml/24
NFS49a,DRY,Calpis Can 335ml/24
NFS50a,DRY,Spring Water 600mL
NFS50b,DRY,Spring Water 600mL
NMI10,FRZ,EEL (Frozen Rosted Eel) Broken Vacuum
NML08a,DRY,Hon Mirin Alcohol14% 18L
NML08b,DRY,Hon Mirin Alcohol14% 18L
NML09a,DRY,RYORI SHU 18L
NML09b,DRY,RYORI SHU 18L
NML14c,DRY,Tuna Flake in Brine 3.12kg
NML14d,DRY,Tuna Flake in Brine 3.12kg
NML15,DRY,Brown Rice 25kg Sunrice
NML15a,DRY,Brown Rice 25kg Sunrice
NML20,FRZ,Tuna Saku 4star sushi Fresh (NTC)
NML22,FRZ,Ground Tuna 5KG
NML24,FRZ,NTC Eel Kabayaki 30P (Bulk)
NML27,DRY,Kombu Dashi Base(LQD)1L Maruhachi S
NML28,FRZ,Tobiko Orange 500g Japan
NML28a,FRZ,Tobiko Orange 500g Japan
NS02,DRY,NS-FRESH Wheat Flour JAN 4
NS06,DRY,NS-GREEN PANDA Wheat Flour
Nul01,DRY,Methylated Spirits 5L
Nul02,DRY,BLEACH 6% 5L
Nul03,DRY,BLITZ NEUTRAL FLOOR CLEANER 5L
NW10,FRZ,Frozen Nama Ebi Tempura 3L (42.5g)
NW14,FRZ,Frozen Catfish Fry with Mayonnaise
NW15,FRZ,Frozen Nama Ebi Tempura L (32g)
NW16,FRZ,Frozen Nama Ebi Tempura 4L (48.5g)
NW18,FRZ,Frozen Nama Ebi Tempura ML (28g)
NW19,FRZ,Frozen Nama Ebi Tempura M (23g)
NW20,FRZ,Frozen Nama Ebi Tempura S (18g) 
NW21,FRZ,Frozen Ebi Fry 32g (16/20)
NW23,FRZ,Frozen Karaage Shrimp (1kgx10)
NW24,FRZ,Frozen Crispy Wheat Bits (1kgx10) 60-70sec
NW25,FRZ,Frozen Crispy Wheat Bits (500g x20) 60-70sec
NW26,FRZ,Frozen Par-Fried Nama Ebi Tempura 3L (42.5g)
NW27,FRZ,Frozen Par-Fried Nama Ebi Tempura L (32g)
NW28,FRZ,Frozen Par-Fried Nama Ebi Tempura ML (28g)
NW29,FRZ,Frozen Par-Fried Nama Ebi Tempura M (23g)
OCI07,FRZ,Crumbed Prawn Patties (with Onion) Green Band
OCI08,FRZ,Crumbed Prawn Patties (Without Onion) Red Band
OCI09,FRZ,Frozen Raw Stretched Crumbed Prawns 8/12 3L
OCI17,FRZ,Frozen Crumbed Prawn Patties 40g
OCP,FRZ,Frozen Ncek Meat Prawn (Vannamei)
OCP06a,FRZ,Sunro Red Spot Carb Half-Cut 31/40
OCP23n,FRZ,Nobashi Ebi 21-25 Vannamei Sushi Factory
OCP39,FRZ,Sunro Vannamei Prawn Cutlets 21/25
OCP40,FRZ,"Frozen ""A"" Grade Mullep Roe 10kg"
OCP48,FRZ,"""NO BRAND"" Crumbed Prawn Patties Vannamei 23g KST"
OCP65,FRZ,Nobashi Ebi 26-30 Vannamei 
OCP65Aa,FRZ,Vanamei Prawn Meat 51/60. IQF(95%NW)
OCP66b,FRZ,Nobashi Ebi 26-30 Vannamei Jun Pacific
OCP67a,FRZ,Nobashi Ebi 21-25 Vannamei NTC
OCP69,FRZ,Vannamei Prawn Meat Broken 40/90 10x 800g IQF
OKF01,FRZ,Sushi Ebi Broken 250g
OKF02,FRZ,Sushi Ebi Dice Cut　71/90
OKF03,FRZ,Sushi Ebi 7L
OKF05,FRZ,Sushi Ebi 6L
OLS04,DRY,Safety Shoese(aqua Neo)
OLS33,DRY,Galvanised Steel Mesh 39.8ｘ19.8cm 
OLS34,DRY,Galvanised Steel Mesh 20cm
OLS35,DRY,Smoked vinegar 11L
OLS37,DRY,Dry Net 3 layer
OLS38,DRY,Rubber Shoes for Ladies
OLS39,DRY,Rubber Sandals
OLS50,DRY,Scale 3kg
OLS53,DRY,Scale 5kg
OLS54,DRY,Plastic cup for shaved ice
OLS82,DRY,Double Timer T-551WT
OP04,FRZ,Boneless Beef Stripon
OP07c,FRZ,OP/Cooked Baby Clam 31-40
OP07d,DRY,OP/Cooked Baby Clam 31-40
OP14a,FRZ,COOKED BABY CLAM 31-40/600G
OP14b,DRY,COOKED BABY CLAM 31-40/600G
OPJ02C,FRZ,Seaweed Salad BV (No MSG)
OPJ15,FRZ,Imitation Shark Fin
OPJ20,FRZ,Roasted Asari 1kg
OPJ21,FRZ,Frozen Shreded Seaweed 1kg
OTK105,FRZ,Frozen Seasoned Chilli Fish Roe (Alaska Pollack) - Metai Ko Tube 500g
OTK118,FRZ,Panapp Multi Pack (Ice Cream)
OTK128,FRZ,Frozen Boiled Noodles (TokuToku)
OTK130,FRZ,Frozen Black Cod Neck Meat
OTK14,FRZ,Hanasaki Shigure
OTK150A,FRZ,Frozen Yakisoba Noodle (Boiled)
OTK151,FRZ,Frozen Yakisoba Noodle with Sauce
OTK159,FRZ,Shortening
OTK162A,FRZ,Frozen Baked Egg RENEWAL
OTK173,FRZ,Frozen Wasabi 800g
OTK177,FRZ,Frozen Sauted Onion Dice
OTK190A,FRZ,Gari Gari kun (Soda flavour) 110ml
OTK193A,FRZ,Gari Gari kun (Coke flavour) 110ml
OTK194A,FRZ,Gari Gari kun (Grapefruit flavour)   110ml
OTK215,FRZ,Frozen Preboiled Salted Seaweed
OTK218,FRZ,Frozen Seaweed 500g
OTK239,FRZ,Frozen Seaweed(White Kombu)
OTK264,FRZ,Ice Parm Chocolate
OTK270,FRZ,Ice Papico choco coffee
OTK276,FRZ,Frozen Seasoned Fish Roe (Alaska　Pollack)
OTK277,FRZ,Frozen Seasoned Chili Fish Roe (Alaska Pollack)
OTK28,FRZ,Frozen Grilled Rice Cake
OTK281,FRZ,Japanese Citrus (Yuzu) Juice 20L
OTK281Repack,FRZ,Yuzu Juice
OTK282,FRZ,Green Tea Powder
OTK284,FRZ,Frozen Grated Wasabi
OTK285,FRZ,Seasoned Octopus
OTK286,FRZ,Frozen Breaded Fish Fillet
OTK286repack,FRZ,Frozen Breaded Fish Fillet (repack)
OTK286REPACK,FRZ,Frozen Breaded Fish Fillet repacked
OTK288,FRZ,(ST) Frozen Crumbed Corn Croquete
OTK291,FRZ,Frozen Sardine 
OTK298,FRZ,Japanese Plum NANKOBAI
OTK30,DRY,Cooked Bean Curd (40pc) JYUBEI (ST)
OTK301,FRZ,Frozen Mashuroom MAITAKE 200g
OTK302,FRZ,Frozen Mashuroom ENOKI 200g
OTK304,FRZ,Eringi Mushroom
OTK305,FRZ,Buna-Shimeji Mushroom
OTK306,FRZ,Chili Seasoned Fish Roe (TUBE)　(Alaska Pollack)  
OTK307,FRZ,Frozen Fermented Soybean Paste (AKADASHI)
OTK308,FRZ,Ice Super cup Vanilla 200ml
OTK30B,FRZ,Cooked Bean Curd (40pc) 豆福
OTK310,FRZ,Ice Super cup Choco Cookie 200ml
OTK311,FRZ,Ice Super cup Mini Vanilla 90ml x 6
OTK312,FRZ,Ice Super cup Mini Cookie Vanilla 90ml x 6
OTK315,FRZ,Ice GOLD Azuki Bar 85ml
OTK346,FRZ,Fermented Soybean Paste(Maru-mu Inaka 375g)
OTK348,FRZ,Fermented Soybean Paste(Organic White Miso 500g)
OTK354,FRZ,Sushi Rice in Seasoned Beancurd Inari Sushi (5pc) 40g
OTK356,FRZ,COOLISH - Calpico flavour
OTK357,FRZ,FROZEN SOYBEEN PASTE (AKADASHI 500g)
OTK358,FRZ,Fermented Soybean Paste (White Miso – Shirokoshi S) 20kg 
OTK359,FRZ,MISO SAUCE FOR FISH 1kg
OTK360,DRY,Baked Shredded Egg Cake 500g
OTK361,FRZ,Fermented Soybean Paste(Ryotei No Aji Saikyo Miso 1kg)
OTK362,FRZ,Slice Ginger 1KG (3mm)
OTK363,FRZ,Frozen Squid (YARI IKA) SUGATA 12g
OTK37A,FRZ,Aji Goma 250g/pack/15pck/3/bundle
OTK53,DRY,Frozen Fermented Soybean-Umaiga Ichiban
OTK57,FRZ,Cooked Bean Curd (10pc)
OTK70,FRZ,Tonkotsu Soup Base
OTK80,FRZ,Rice Cake
OTK82,FRZ,"Dried Seaweed ""Konbu"""
OTK84,FRZ,Frozen Ginko Nuts
OTK99B,FRZ,Frozen Pre Boiled Seasoned Scalop M size
PAR08,DRY,BUBBLE BAG 4 10mm x 240mm X 360mm
Par09,DRY,BUBBLE BAG 2 10mm x 215mm X 300mm
PAR09,DRY,BUBBLE BAG 2 10mm x 215mm X 300mm
PAR12,DRY,82 L Roller Pack (Black Bin Bag)
PAR12a,DRY,82 L Roller Pack (Black Bin Bag)
PAR14,DRY,Rubber Band No.18
PAR15,DRY,TUFFEX Packaging Tape Clear
PAR16,DRY,Livingstone Powdered Latex Gloves BLUE M size
PAR17,DRY,Livingstone Powdered Latex Gloves BLUE L size
PAR18,DRY,Livingstone Powdered Latex Gloves BLUE S size
PCF01,DRY,Printed Vacuum Sealing bags (120micron)
PD01,DRY,Milled Rice (KINME) 4.525kg Blue bag
PD13,DRY,Tonkatsu Batter Mix
PD63,FRZ,Rice Seasoning
PD64A,DRY,Dried Seaweed Strips (Kizami Nori)
PF04,FRZ,Frozen Grated Wasabi
PF05,FRZ,Frozen Sliced Lotus Root
PF06,FRZ,Frozen Grated Yam
PF08,FRZ,Nanban Yaki Tare
PF19,FRZ,English Spinach in Roasted Sesame Sauce
PF26,FRZ,Frozen Soybeans (No Pods)
PF27A,FRZ,Frozen Udon Noodles (Yayoi)
PF27B,DRY,Frozen Udon Noodles (Yayoi)
PF31,DRY,Frozen Dried Atka Mackerel (Headless)
PLATE,DRY,PLATE
PRE01,FRZ,Pork Extract Ramen Stock (50) 5kg FRZ
QDO01,FRZ,Frozen Greenland Halibut fillets 90g
QDO03,FRZ,Frozen Red Fish Fillets 130-150g
QDO04,FRZ,Frozen Red Fish Fillets 150g-170g
QP01,DRY,QP Mayonnaise 1kg Thai AUG 3
QP03A,DRY,QP Roasted Sesame Sauce(NO MSG) AUG 1
QP05B,DRY,QP Mayonnaise Mini 12g Thai
QP06,DRY,QP Mayonnaise Mild Type 1kg
QP07,DRY,QP Reduced Fat Mayonnaise 1kg Thai
QP09,DRY,QP Mayonnaise Mild Type 10G JAN7
QP12,DRY,Egg Tray (20PC)
QSW01,DRY,Pre-fried Lotus Roots 400g
QSW02,DRY,Frozen Boiled Soybean (CHINA) 500g
QSW03,FRZ,Frozen Breaded Pollock Fillet 50g
QSW04,FRZ,Ground Garlic Cube 20g x 50pc
QSW05,DRY,Frozen Crumbled Croquette (Vegetable) 60g
QSW06,DRY,Roasted Peanuts with Chili 90g
QSW07,FRZ,Frozen Fried Tofu with Rice Cake 20g x 50pc
QSW08,FRZ,Frozen Roasted Chestnuts 10kg
QSW09,FRZ,Frozen Diced Truffle
QSW10,FRZ,Frozen Grated Yam POTATO 50g
QSW11,FRZ,Ground Garlic 
QSW12,FRZ,Ground Ginger
QSW13,DRY,OkonomiYaki (Vegetable )  200G
QSW14,FRZ,OkonomiYaki (Vegetable )  80G
QSW15,FRZ,Bamboo Leaf (28-30CM)
QSW16,FRZ,Bamboo Leaf (13.5CM) 
QSW17,FRZ,Frozen Spring Roll (Vegetable) 18g
RC05,DRY,Rice Cooker Hitachi RZ-DMD10Y Red
RED,DRY,Caramel PS 111 -30kg
RED02,DRY,CORN STARCH
Red02b,DRY,CORN STARCH
RED02c,DRY,CORN STARCH
Red03c,DRY,POTATO STARCH Polish (Green) POSTAR6500
RED03c,DRY,POTATO STARCH Polish (Green) POSTAR6500
RED05,DRY,White Sugar SUGMAN5100
RED05a,DRY,White Sugar SUGMAN5100
RED10,DRY,Caramel Neg D.S -30kg
RED11,DRY,Caramel PS 111 -30kg
RED12,DRY,White Sugar SUGMAN1030
RED13,DRY,White Sugar SUGMAN1900
RJE02b,FRZ,Lobster Salad
RJE07a,FRZ,Abalone Salad
RUM01Ad,FRZ,Salmon Roe 200g (BROKEN)
RUM01e,FRZ,Salmon Roe 500g
RUM02a,FRZ,Trout Roe 500g
RUM03a,FRZ,Salted Headless Frozen Herrings
RUM05,FRZ,(ST)Seasoned Salmon Caviar 500g
SAMPLE,FRZ,Sample Pallet ①
SC01,DRY,Powder Egg Yellow Colour 1kg
SDA207,FRZ,Asari 500g packet(For Plenus)
SDA290,FRZ,Saikyo miso Tooth Fish neck
SHF05,FRZ,Burdock (Shredded)  500g
SHF09,DRY,Okonomi yaki (Vegetable)  200g
SHF17,FRZ,Frozen Seasoned Fried Octopus 500g
SHF20,FRZ,Frozen Green Halibut Slice ( ENGAWA)
SHf22,FRZ,Frozen Spinach 500g(For Yayoi)
SHF22,DRY,Frozen Spinach IQF 500g
SIC02,FRZ,130ml Japanese Green Tea Icecream
SIC02Aa,FRZ,500ml Japanese Green Tea Icecream
SIC02Ba,FRZ,5L Japanese Green Tea Icecream
SIC03a,FRZ,130ml Black Sesame Icecream
SIC03Aa,FRZ,500ml Black Sesame Icecream
SIC03Ba,FRZ,5L Black Sesame Icecream
SIC04,FRZ,130ml Hojicha Icecream
SIC04Aa,FRZ,500ml Hojicha Icecream
SIC04Ba,FRZ,5L Hojicha Icecream
SIC05Ba,FRZ,5L Vanilla Beana Icecream
SIC07Ba,FRZ,5L Miso Caramel Icecream
SIC08Ab,FRZ,500ml Yuzu Sorbet
SIC08Ba,FRZ,5L Yuzu Sorbet
SIC09Ba,FRZ,5L Mango Sorbet
SIC11,FRZ,5L Choco 
SIC16,FRZ,5L Ice Container Tub 
SIF02,FRZ,FROZEN CUTTLEFISH SHUMAI 20G
SIF05,FRZ,FROZEN FISH GYOZA 20G
SM03A,DRY,Citron Honey Tea 
