sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
Code Required,31/12/2019,,26,ctn,25/11/2021,DRY
Code Required,31/12/2019,,2,ctn,31/12/2099,DRY
Code to check,31/12/2019,,2,ctn,23/09/2021,FRZ
COF01,31/12/2019,,9,ctn,11/09/2021,FRZ
COF01,31/12/2019,,24,ctn,11/09/2021,DRY
COF01,31/12/2019,,100,ctn,7/11/2021,DRY
COF02,31/12/2019,,120,ctn,6/03/2021,DRY
COF03,31/12/2019,,1,ctn,1/08/2021,FRZ
COF03,31/12/2019,,50,ctn,10/11/2021,DRY
COF04,31/12/2019,,1,ctn,3/08/2021,FRZ
COF04,31/12/2019,,50,ctn,10/09/2021,DRY
COF05,31/12/2019,,1,ctn,4/08/2021,FRZ
COF05,31/12/2019,,144,ctn,10/08/2021,DRY
COF05,31/12/2019,,6,ctn,10/08/2021,FRZ
COF06,31/12/2019,,3,ctn,2/08/2021,FRZ
COF07,31/12/2019,,0.05,ctn,25/02/2019,FRZ
COF10,31/12/2019,,0.6,ctn,25/02/2019,FRZ
COF11,31/12/2019,,24,ctn,5/08/2021,DRY
COF11,31/12/2019,,22,ctn,5/08/2021,FRZ
COF12,31/12/2019,,1,ctn,11/09/2020,FRZ
COF12,31/12/2019,,10,ctn,8/08/2021,FRZ
COF14,31/12/2019,,0.8,ctn,15/10/2019,FRZ
COF17,31/12/2019,,3.55,ctn,25/02/2019,FRZ
COF18,31/12/2019,,0.65,ctn,31/12/1999,FRZ
COF18,31/12/2019,,1.5,ctn,25/02/2019,FRZ
COF19,31/12/2019,,5,ctn,25/02/2019,FRZ
COF21,31/12/2019,,0.3,ctn,26/02/2019,FRZ
COF22,31/12/2019,,33,ctn,10/05/2021,FRZ
COF23,31/12/2019,,6.6,ctn,16/05/2021,FRZ
COF24,31/12/2019,,24,ctn,27/04/2021,DRY
COF24,31/12/2019,,3,ctn,27/04/2021,FRZ
COF24,31/12/2019,,60,ctn,6/05/2021,DRY
COF26,31/12/2019,,40,ctn,28/03/2020,DRY
COF26,31/12/2019,,11.9584,ctn,28/03/2020,FRZ
COF27,31/12/2019,,5,ctn,13/05/2021,FRZ
COF27,31/12/2019,,71,ctn,9/08/2021,DRY
COF27,31/12/2019,,75,ctn,9/11/2021,DRY
COF28,31/12/2019,,3,ctn,8/11/2019,FRZ
COF29,31/12/2019,,4.95,ctn,20/01/2020,FRZ
COF30,31/12/2019,,23.9,ctn,15/05/2021,FRZ
CP01f,31/12/2019,,4,ctn,31/12/2099,DRY
CP02e,31/12/2019,,47,ctn,31/12/2099,DRY
CP04a,31/12/2019,,2.869,ctn,8/01/2017,DRY
CP05Aa,31/12/2019,,1,ctn,31/12/2099,DRY
CP06b,31/12/2019,,1,roll,31/12/2099,DRY
CST01,31/12/2019,,32,ctn,1/08/2020,DRY
CST01,31/12/2019,,192,ctn,1/04/2021,DRY
CST01,31/12/2019,,278,ctn,1/04/2021,FRZ
CST03,31/12/2019,,24,ctn,1/11/2019,DRY
CST03,31/12/2019,,10.6,ctn,1/11/2019,FRZ
CST04,31/12/2019,,20,ctn,1/11/2019,FRZ
CST05,31/12/2019,,5,ctn,1/04/2019,FRZ
CST07A,31/12/2019,,10,ctn,1/08/2019,DRY
CST07E,31/12/2019,,5,ctn,1/08/2019,FRZ
DAI01A,31/12/2019,,1,ctn,25/07/2020,FRZ
DAI01A,31/12/2019,,72,ctn,28/08/2020,FRZ
DAILY,31/12/2019,,17,plt,31/12/2099,FRZ
DH02,31/12/2019,,1.9,ctn,27/12/2017,FRZ
